core.externalId,core.name,Parent: Domain,Parent: Subdomain,core.description,core.assetLifecycle,com.infa.ccgf.models.governance.securityClassification,com.infa.ccgf.models.governance.AliasNames,com.infa.ccgf.models.governance.Examples,com.infa.ccgf.models.governance.BusinessLogic,Stakeholder: Admin,Stakeholder: Bank_Details_Owner,Stakeholder: Custom Role - Data Steward,Stakeholder: Governance Administrator,Stakeholder: Governance Owner,Stakeholder: Super Admin,Stakeholder: Bank_Details_Consumer,Stakeholder: test super Stakeholder Role,Stakeholders Type,HierarchicalPath,Operation,core.createdOn,core.createdBy,core.modifiedOn,core.modifiedBy,core.identity,core.location,core.origin
SDOM-45,AdvnWorks_Person_SubDomain,Goutham_AdvnWorks_Domain | DOM-43,,,Published,Confidential,,,,Goutham,,,,,"","","",Assigned,Goutham_AdvnWorks_Domain/AdvnWorks_Person_SubDomain,Update,"Mar 20, 2025, 01:06:28 PM",Goutham,"Mar 20, 2025, 01:06:32 PM",Goutham,8461515d-0b5d-41c0-9d4d-d81b6b6b64ec,CDGC://91e3d7ee-1bbf-468f-942f-82f8d82cae0f/8461515d-0b5d-41c0-9d4d-d81b6b6b64ec,CDGC
SDOM-33,SD1,,,,Published,Public,,,,,,,,,"","","",,SD1,Update,"Mar 04, 2025, 11:59:35 AM",john,"Mar 05, 2025, 05:15:57 AM",john,93797b41-b883-4c60-9fe5-456c9671c7ae,CDGC://93797b41-b883-4c60-9fe5-456c9671c7ae,CDGC
GLOS-1030,HCM Joint Terms - Group 2,,Human Capital Management | BG-11,1- Talent Acquisition - Hiring & Onboarding 2- Human Capital Services -  Employees Relations & Grievances,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Business Glossary/Human Capital Management/HCM Joint Terms - Group 2,Update,"Sep 19, 2024, 06:01:51 AM",infa_admin,"Sep 19, 2024, 06:01:51 AM",infa_admin,ad6038bf-2f06-4bdb-a7e1-f77baa336a52,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/ad6038bf-2f06-4bdb-a7e1-f77baa336a52,CDGC
SDOM-30,dbo,test | DOM-23,,,Published,,,,,,,,,,"","","",,test/dbo,Update,"Feb 03, 2025, 05:01:00 AM",Sherin,"Feb 03, 2025, 05:01:00 AM",Sherin,b5e18d1b-0684-4bed-bd13-3e47b7a3adc9,CDGC://a5568c1a-59a8-479e-b0b1-3de96e47ef38/b5e18d1b-0684-4bed-bd13-3e47b7a3adc9,CDGC
SDOM-39,EMPLOYEES,ACJ_Oracle_Employees_extract | DOM-37,,,Published,,,,,,,,,Ancy,"","","",Assigned,ACJ_Oracle_Employees_extract/EMPLOYEES,Update,"Mar 05, 2025, 06:56:55 AM",Ancy,"Mar 05, 2025, 06:56:58 AM",Ancy,bb889df0-f0e6-4aef-900d-871359c0e234,CDGC://8f15553b-4249-4777-85a2-200705de5ad4/bb889df0-f0e6-4aef-900d-871359c0e234,CDGC
SDOM-15,SD_B2B_JOBS,D_B2B_JOBS | DOM-10,,,Published,Internal,SD_JOBS,,,,,AswathyNagarajan;CajorinM,AswathyNagarajan;CajorinM,,"","","",Assigned,D_B2B_JOBS/SD_B2B_JOBS,Update,"Sep 30, 2024, 11:22:42 AM",CajorinM,"Sep 30, 2024, 11:22:42 AM",CajorinM,cab927d3-a9f7-4196-b4a7-4568e6e97831,CDGC://83adb60f-6469-4d9d-a962-39acf0502bc9/cab927d3-a9f7-4196-b4a7-4568e6e97831,CDGC
SDOM-10,Employee,AS_Employee | DOM-7,,Employee Personal Details,Published,,Employee,,,,,anfeezas,kaviya,,"","","",Assigned,AS_Employee/Employee,Update,"Sep 29, 2024, 07:52:13 AM",anfeezas,"Sep 29, 2024, 07:52:13 AM",anfeezas,d4e69ffe-61ea-4bc1-a7ff-ec8e896e523b,CDGC://1a8445ea-a27c-4ba3-b67c-33d8a69074a2/d4e69ffe-61ea-4bc1-a7ff-ec8e896e523b,CDGC
Instructor-subdomain-13,Party Group,Party | Instructor-domain-1,,"Party group is the category to which the party belongs. A group is an informal structure of persons or organizations, such as a household, a special interest or advocacy group, or a project group. Individual parties can be grouped if they are affiliated together and you want to treat them as a separate entity. A party can belong to one or more groups depending on the rules defined for categorizing the parties. For example, a household is a set of persons (parties) who are extended members of the same family, and who can be treated as a unit for certain purposes, such as marketing.",Published,Public,,,,,abish,infa_data,infa_admin,,"","","",Assigned,Party/Party Group,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Mar 19, 2025, 05:29:02 AM",abish,d80f7ff8-e9f6-4b85-947b-2878d8cf8089,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/d80f7ff8-e9f6-4b85-947b-2878d8cf8089,CDGC
SDOM-22,Address Test,DEMO | DOM-16,,,Published,,Add Test,,,,,,,,"","","",,DEMO/Address Test,Update,"Jan 08, 2025, 01:09:21 PM",AswathyNagarajan,"Jan 08, 2025, 01:09:21 PM",AswathyNagarajan,f1a04474-233b-46ed-a327-ff6fa90726d6,CDGC://5e49a6fe-8571-4a13-8bd8-ef2331d6beef/f1a04474-233b-46ed-a327-ff6fa90726d6,CDGC
Instructor-subdomain-29,Party Status,Party | Instructor-domain-1,,"The status of a party can be registered, approved, active, or inactive.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Party Status,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,f1b42b00-2167-48bb-9c88-dc27be4651ae,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/f1b42b00-2167-48bb-9c88-dc27be4651ae,CDGC
SDOM-12,CD Department,CD Employees | DOM-9,,,Published,,Dep,,,,,AswathyNagarajan;dharshinic,,,"","","",Assigned,CD Employees/CD Department,Update,"Sep 30, 2024, 07:42:11 AM",dharshinic,"Sep 30, 2024, 07:42:11 AM",dharshinic,f903cc6c-eb84-45bb-981a-1ddc8535945a,CDGC://33628056-fbf3-4498-936c-9aa5e0ebd3d4/f903cc6c-eb84-45bb-981a-1ddc8535945a,CDGC
SDOM-31,Unifi_Employees_sub,unifi_Employees | DOM-24,,,Published,,,,,,,,,,"","","",,unifi_Employees/Unifi_Employees_sub,Update,"Feb 03, 2025, 12:31:56 PM",AswathyNagarajan,"Feb 03, 2025, 12:31:56 PM",AswathyNagarajan,fc6594e7-8a78-4893-beef-31f9c6319541,CDGC://66f98dc6-4a4d-474e-814c-1e49656d4cfc/fc6594e7-8a78-4893-beef-31f9c6319541,CDGC
SDOM-19,SANJAI_EMPLOYEE,CD Employees | DOM-9,,,Published,Confidential,SAN_EMP,,,,,,,,"","","",,CD Employees/SANJAI_EMPLOYEE,Update,"Nov 26, 2024, 07:47:58 AM",AswathyNagarajan,"Nov 26, 2024, 07:47:58 AM",AswathyNagarajan,15b7f4b1-c9e8-47b0-8d49-2d3cbeae35d9,CDGC://33628056-fbf3-4498-936c-9aa5e0ebd3d4/15b7f4b1-c9e8-47b0-8d49-2d3cbeae35d9,CDGC
Instructor-subdomain-25,Party Opt In Information,Party | Instructor-domain-1,,"Parties specify whether an organization can contact them and what kind of contact is acceptable. For example, a party might allow marketers to send information, messages, or merchandise about products and services to the party or might restrict marketers from any contact with the party.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Party Opt In Information,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,172e3672-fd4b-4614-809d-77cf92095e03,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/172e3672-fd4b-4614-809d-77cf92095e03,CDGC
SDOM-8,Employee,Human_resource | DOM-2,,,Published,,Emp,,,,,sreejith;RiswinT,sreejith,,"","","",Assigned,Human_resource/Employee,Update,"Sep 26, 2024, 05:16:30 AM",sreejith,"Sep 26, 2024, 05:16:30 AM",sreejith,3b646c2e-9c48-458b-8f5a-5e298c606fa4,CDGC://b824c3be-60ae-4db2-9d47-58a2e2d2e900/3b646c2e-9c48-458b-8f5a-5e298c606fa4,CDGC
Instructor-subdomain-26,Party Phone Communication,Party | Instructor-domain-1,,"Phone numbers can be landline, mobile, or fax. Phone numbers might be bound to the postal address of the party. The availability of the phone number, effective date, and validity provide additional information for phone communication with the party.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Party Phone Communication,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,4ecadc7f-fdea-403a-9a38-81dd057c5b38,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/4ecadc7f-fdea-403a-9a38-81dd057c5b38,CDGC
Instructor-subdomain-11,Party Lifestyle,,Person | Instructor-subdomain-4,"Lifestyle details give additional information about the party applicable to a person, such as behavior and interests. Lifestyle information includes travel style, hobbies, and entertainment preferences.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Person/Party Lifestyle,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,5229c84d-b35c-4f02-9c4b-030ca5001796,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/a17e5f8f-7de0-4aa3-badd-2764fdb8d54a/5229c84d-b35c-4f02-9c4b-030ca5001796,CDGC
Tearm 3,Employ,,,,Published,,,,,,,,,,"","","",,Employ,Update,"Jan 06, 2025, 11:19:27 AM",RiswinT,"Jan 06, 2025, 11:19:27 AM",RiswinT,53b9b81d-139b-4661-8709-2870dcfebe6d,CDGC://53b9b81d-139b-4661-8709-2870dcfebe6d,CDGC
Instructor-subdomain-15,Party Alternate Name,Party | Instructor-domain-1,,"An organization or a person might use different names, such as legal name, professional name, alias, doing business as, and maiden name. An alternative name might be active during a particular time.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Party Alternate Name,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,68ba7c92-46d0-46e1-83e4-0d0e8b0b2def,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/68ba7c92-46d0-46e1-83e4-0d0e8b0b2def,CDGC
SDOM-40,_john_SD_BankAccount,,,,Published,Restricted,,,this is single table in db,,,,,,"","","",,_john_SD_BankAccount,Update,"Mar 11, 2025, 05:36:57 AM",abish,"Mar 11, 2025, 05:36:57 AM",abish,697bc9ba-4ff2-4bf7-b42c-93e1cc1effbb,CDGC://697bc9ba-4ff2-4bf7-b42c-93e1cc1effbb,CDGC
Instructor-subdomain-19,Party Communication Preference,Party | Instructor-domain-1,,"Communication with a party must adhere to the communication preference of the party. You can store how, when, and where a party prefers to receive communication, information, or messages. You can add the communication preference on all communication channels, such as physical address, email address, phone, and social media.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Party Communication Preference,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,6cccc62a-80a1-4827-8bd1-d6c5e3d35adf,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/6cccc62a-80a1-4827-8bd1-d6c5e3d35adf,CDGC
GLOS-910,Performance Management & Career Development,,Talent & Performance | GLOS-921,Performance Management & Career Development,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Business Glossary/Human Capital Management/Talent & Performance/Performance Management & Career Development,Update,"Sep 19, 2024, 06:08:43 AM",infa_admin,"Sep 19, 2024, 06:08:43 AM",infa_admin,8fef368b-e25d-44c4-bf69-c5d27ddfd4e5,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/90efae37-5038-47c0-9b26-e0b2d171614c/8fef368b-e25d-44c4-bf69-c5d27ddfd4e5,CDGC
SDOM-44,subdomain_employee,,,,Published,,,,,,,,,,"","","",,subdomain_employee,Update,"Mar 16, 2025, 11:33:31 AM",beenu,"Mar 16, 2025, 11:33:31 AM",beenu,915e5c67-10a5-428f-9646-9aa17ff0eb40,CDGC://915e5c67-10a5-428f-9646-9aa17ff0eb40,CDGC
SDOM-18,Department Salary,B2B DWH Rah | DOM-11,,,Published,,Dep Sal,,,,,,,,"","","",,B2B DWH Rah/Department Salary,Update,"Oct 14, 2024, 05:15:11 AM",AswathyNagarajan,"Oct 14, 2024, 05:15:11 AM",AswathyNagarajan,968a70da-4d61-47c4-b948-4beb09541aca,CDGC://90ac7f72-bed2-4bed-b65e-85bce5152123/968a70da-4d61-47c4-b948-4beb09541aca,CDGC
GLOS-923,Talent Acquisition,,Human Capital Management | BG-11,Talent Acquisition,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Business Glossary/Human Capital Management/Talent Acquisition,Update,"Sep 19, 2024, 06:01:51 AM",infa_admin,"Sep 19, 2024, 06:01:51 AM",infa_admin,9c4da1a2-fb79-47f4-a0ff-077e35957e9c,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/9c4da1a2-fb79-47f4-a0ff-077e35957e9c,CDGC
Instructor-subdomain-3,Party Stock Exchange,,Organization | Instructor-subdomain-1,The stock exchange information includes the name of the stock exchange where the shares of the party are traded and the ticker symbol of the organization.,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Organization/Party Stock Exchange,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,c275f297-11e7-400c-a2de-b1e6778e326b,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/d95abf73-32e9-49c9-b079-207f29e13640/c275f297-11e7-400c-a2de-b1e6778e326b,CDGC
GLOS-912,Payroll,,Human Capital Services | GLOS-922,Payroll and Benefits Administration,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Business Glossary/Human Capital Management/Human Capital Services/Payroll,Update,"Sep 19, 2024, 06:08:43 AM",infa_admin,"Sep 19, 2024, 06:08:43 AM",infa_admin,c69ed606-780f-4e2b-ba57-070879b66e4d,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/ffa49b9f-3b59-4031-8da5-091255267c58/c69ed606-780f-4e2b-ba57-070879b66e4d,CDGC
Instructor-subdomain-33,Postal Address Enrichment Status,Postal Address | Instructor-domain-2,,"Postal addresses can be standardized and enriched with data, such as county code, postal code, and locality identifiers. You can have country-specific address enrichments to improve the address quality and usability. When you enrich postal addresses, the enrichment service might return status codes along with the address output.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Postal Address/Postal Address Enrichment Status,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,ce5c0e8d-16e3-4e6c-9cb7-871215bc6db0,CDGC://71a19c09-321a-4359-8a49-e2cfc57c8ee2/ce5c0e8d-16e3-4e6c-9cb7-871215bc6db0,CDGC
Instructor-subdomain-9,Party Education,,Person | Instructor-subdomain-4,A party can have educational details or skills. You might use the information to screen a party.,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Person/Party Education,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,d06ef326-3255-4a0e-a628-06ef300d5461,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/a17e5f8f-7de0-4aa3-badd-2764fdb8d54a/d06ef326-3255-4a0e-a628-06ef300d5461,CDGC
GLOS-908,Access Management,,IT Infrastructure and Information Security Solutions | GLOS-920,Access Management,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Business Glossary/IT & Digitization/IT Infrastructure and Information Security Solutions/Access Management,Update,"Sep 19, 2024, 06:08:43 AM",infa_admin,"Sep 19, 2024, 06:08:43 AM",infa_admin,d124946d-9094-4c25-9079-3a1290e57cb5,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/56b53872-86cc-421a-a96e-802744fba310/630f9f98-9765-47b4-bb84-a26a1a9ebfd3/d124946d-9094-4c25-9079-3a1290e57cb5,CDGC
Instructor-subdomain-6,Customer,,Person | Instructor-subdomain-4,"Customer, client of your company, member enrolled in your company's offering, etc.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Person/Customer,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,d1868098-0fd2-454d-a55b-6b110d18f2ce,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/a17e5f8f-7de0-4aa3-badd-2764fdb8d54a/d1868098-0fd2-454d-a55b-6b110d18f2ce,CDGC
SUB-DOMAIN-2,Product Design and R&D,Product Development & Management | DOMAIN-1,,The Product Design and R&D information domain,Published,Public,PDR,,,,,Selciya,,,"","","",Assigned,Product Development & Management/Product Design and R&D,Update,"Jan 11, 2025, 08:11:24 AM",Selciya,"Jan 11, 2025, 08:11:24 AM",Selciya,d354bdb3-9b20-46d3-bb96-3d8bef6ed2a7,CDGC://4b4ecc83-61f7-42d5-98ad-23749c7faf62/d354bdb3-9b20-46d3-bb96-3d8bef6ed2a7,CDGC
SDOM-1,Emp-Sub-Domain,Emp-Domain | DOM-1,,Employee Sub Domain,Published,Public,ESD,Employee details,,,,,,,"","","",,Emp-Domain/Emp-Sub-Domain,Update,"Jun 13, 2024, 07:37:29 AM",Deleted,"Jun 13, 2024, 07:37:29 AM",Deleted,e1242515-2002-401e-a70a-cef9b15b7467,CDGC://f99de1b8-91dc-41d3-a89f-a10b5565ff11/e1242515-2002-401e-a70a-cef9b15b7467,CDGC
GLOS-918,OD & Manpower Planning,,HC COE | GLOS-924,Organization Development & Manpower Planning,Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Business Glossary/Human Capital Management/HC COE/OD & Manpower Planning,Update,"Sep 19, 2024, 06:08:43 AM",infa_admin,"Sep 19, 2024, 06:08:43 AM",infa_admin,e340a38e-6ac3-4db8-a04f-eb444b07b408,CDGC://fa01dd64-4797-4056-97a4-0558835b4d43/455f2e11-79a8-427e-baff-fd14cff2f33e/d7855461-546b-487f-a589-593392eae9b2/e340a38e-6ac3-4db8-a04f-eb444b07b408,CDGC
Instructor-subdomain-27,Party Social Media Handle,Party | Instructor-domain-1,,"A party can have multiple social media handles for social media channels and platforms, such as Facebook and Twitter.",Published,Public,,,,,,infa_data,infa_admin,,"","","",Assigned,Party/Party Social Media Handle,Update,"Oct 01, 2024, 08:09:53 AM",infa_admin,"Oct 01, 2024, 08:09:53 AM",infa_admin,f6539fbe-55ca-46e7-971a-9d9e5146bc9f,CDGC://cfefb780-1bc4-431a-8f89-4e05f6acbff2/f6539fbe-55ca-46e7-971a-9d9e5146bc9f,CDGC
SDOM-25,FF_Customer_SubDomain,FF_Customer_Domain | DOM-19,,,Published,,,,,,,,vineshv,,"","","",Assigned,FF_Customer_Domain/FF_Customer_SubDomain,Update,"Jan 10, 2025, 09:37:52 AM",vineshv,"Jan 10, 2025, 09:37:55 AM",vineshv,f8957338-b687-4135-b217-1e24faac0cdb,CDGC://84e56b6d-9758-43c6-87c8-1e7152d01b1c/f8957338-b687-4135-b217-1e24faac0cdb,CDGC
